Name,Date,notes,Value,Change
PGC,2015-11-7,notes,600.61,INCREASED
RHS,2015-10-5,notes,202.97,DECREASED
KCT,2015-7-20,notes,914.96,INCREASED
DLV,2015-9-12,notes,479.16,DECREASED
ABU,2015-8-19,notes,725.18,DECREASED
WHJ,2015-7-14,notes,795.78,DECREASED
ARA,2015-8-12,notes,470.80,INCREASED
WYO,2015-8-3,notes,--,UNKNOWN
DNX,2015-7-18,notes,600.33,DECREASED
IUQ,2015-10-13,notes,641.49,INCREASED
TSM,2015-10-20,notes,933.83,INCREASED
YLB,2015-9-18,notes,610.28,INCREASED
PEX,2015-9-17,notes,Lost,UNKNOWN
AJZ,2015-7-8,notes,318.69,DECREASED
LII,2015-8-3,notes,160.58,DECREASED
ZVQ,2015-9-3,notes,450.8,DECREASED
PEX,2015-10-20,notes,451.53,DECREASED
MQZ,2015-7-18,notes,200.12,DECREASED
FKS,2015-9-16,notes,799.62,INCREASED
FKS,2015-11-10,notes,264.70,DECREASED
RTN,2015-9-9,notes,not there,UNKNOWN
PFF,2015-11-17,notes,400.89,INCREASED
JDF,2015-9-18,notes,Not applicable,UNKNOWN
IMN,2015-7-10,notes,776.69,INCREASED
ABU,2015-7-3,notes,10.68,DECREASED
INO,2015-8-16,notes,692.5,DECREASED
IQZ,2015-7-8,notes,656.36,INCREASED
WHJ,2015-10-8,notes,537.53,INCREASED
PGC,2015-10-4,notes,657.32,DECREASED
FKS,2015-9-7,notes,641.23,INCREASED
YRW,2015-8-8,notes,173.35,DECREASED
TSM,2015-10-4,notes,231.67,DECREASED
XBO,2015-9-7,notes,209.57,DECREASED
DWM,2015-8-18,notes,233.43,DECREASED
DLV,2015-9-15,notes,158.73,DECREASED
XOT,2015-11-1,notes,485.47,DECREASED
IES,2015-9-6,notes,164.81,INCREASED
JDF,2015-8-8,notes,780.29,INCREASED
NRA,2015-8-12,notes,748.41,INCREASED
SGT,2015-11-19,notes,482.43,DECREASED
QBU,2015-9-2,notes,628.12,INCREASED
FKS,2015-7-9,notes,144.96,DECREASED
WGX,2015-7-16,notes,--------,UNKNOWN
OQB,2015-11-6,notes,425.64,DECREASED
JNL,2015-11-2,notes,610.56,INCREASED
TSM,2015-7-12,notes,582.53,DECREASED
IFM,2015-10-8,notes,140.79,DECREASED
ULI,2015-7-11,notes,160.7,DECREASED
IMN,2015-10-8,notes,50.42,DECREASED
DLV,2015-11-18,notes,732.27,INCREASED
ORX,2015-9-16,notes,159.33,DECREASED
YPF,2015-11-20,notes,429.6,DECREASED
SIF,2015-7-13,notes,NA,UNKNOWN
OBR,2015-10-4,notes,910.30,INCREASED
KXO,2015-9-14,notes,239.49,INCREASED
MDH,2015-10-13,notes,395.87,DECREASED
SBH,2015-11-14,notes,--,UNKNOWN
KJJ,2015-8-16,notes,169.15,DECREASED
WGX,2015-9-1,notes,634.53,INCREASED
RCC,2015-10-17,notes,455.4,DECREASED
UBH,2015-9-4,notes,--,UNKNOWN
SGT,2015-9-17,notes,325.64,DECREASED
FZN,2015-11-18,notes,217.83,INCREASED
ABU,2015-7-6,notes,407.10,INCREASED
SIF,2015-11-2,notes,45.83,DECREASED
TZA,2015-11-10,notes,N/A,UNKNOWN
TIO,2015-9-14,notes,119.48,DECREASED
KTX,2015-8-18,notes,Not found,UNKNOWN
UBH,2015-11-17,notes,not there,UNKNOWN
QLS,2015-8-5,notes,645.28,DECREASED
DKM,2015-10-15,notes,UNKOWN,UNKNOWN
QFX,2015-7-14,notes,370.30,INCREASED
QLS,2015-11-2,notes,365.34,DECREASED
JNL,2015-8-8,notes,888.69,INCREASED
ZPZ,2015-9-15,notes,Not applicable,UNKNOWN
VVX,2015-8-3,notes,614.58,INCREASED
ISF,2015-9-16,notes,673.17,INCREASED
DLV,2015-8-3,notes,831.39,INCREASED
SIF,2015-9-19,notes,933.20,DECREASED
WHL,2015-7-6,notes,490.83,INCREASED
ARA,2015-9-2,notes,302.45,INCREASED
DLV,2015-10-17,notes,176.6,DECREASED
COF,2015-7-12,notes,Not present,UNKNOWN
LTH,2015-11-12,notes,812.25,DECREASED
LDT,2015-7-8,notes,983.22,INCREASED
IMN,2015-10-2,notes,62.56,INCREASED
QLS,2015-11-10,notes,541.98,DECREASED
ABU,2015-11-20,notes,783.29,INCREASED
AJZ,2015-11-12,notes,595.43,INCREASED
HSK,2015-11-7,notes,59.94,DECREASED
GRH,2015-11-8,notes,568.67,INCREASED
TIO,2015-11-18,notes,664.57,INCREASED
NSJ,2015-9-7,notes,315.39,INCREASED
RNP,2015-10-12,notes,--,UNKNOWN
XQN,2015-11-5,notes,40.6,DECREASED
DUO,2015-9-12,notes,933.90,INCREASED
TZA,2015-10-3,notes,568.47,DECREASED
BBL,2015-8-8,notes,unknown,UNKNOWN
LVR,2015-9-11,notes,3.66,DECREASED
TZA,2015-8-18,notes,638.70,INCREASED
ZPZ,2015-11-17,notes,369.35,DECREASED
TSM,2015-9-4,notes,18.30,DECREASED
DNX,2015-7-16,notes,704.79,DECREASED
VFK,2015-9-16,notes,203.59,DECREASED
XQN,2015-8-3,notes,599.40,INCREASED
HSK,2015-10-19,notes,403.52,DECREASED
SBH,2015-8-6,notes,UNKOWN,UNKNOWN
DEE,2015-8-12,notes,865.46,INCREASED
OPZ,2015-9-19,notes,348.40,INCREASED
PFT,2015-7-6,notes,863.52,INCREASED
DWM,2015-10-10,notes,476.93,DECREASED
VFK,2015-10-5,notes,423.53,INCREASED
PFT,2015-11-20,notes,511.6,INCREASED
OBR,2015-10-16,notes,908.24,INCREASED
FZS,2015-7-1,notes,-----,UNKNOWN
PEX,2015-7-9,notes,667.62,INCREASED
ZVQ,2015-9-5,notes,179.70,DECREASED
PFF,2015-11-5,notes,481.77,INCREASED
IUQ,2015-10-6,notes,898.78,INCREASED
RNP,2015-8-2,notes,294.60,DECREASED
COF,2015-9-6,notes,942.17,INCREASED
ISF,2015-8-20,notes,--,UNKNOWN
ELM,2015-8-18,notes,192.21,DECREASED
TZA,2015-9-5,notes,827.35,INCREASED
PEX,2015-9-13,notes,139.78,DECREASED
DNX,2015-8-5,notes,745.13,DECREASED
OPZ,2015-11-2,notes,526.89,INCREASED
EUS,2015-11-13,notes,963.93,INCREASED
FZN,2015-11-15,notes,167.66,DECREASED
ZPZ,2015-8-3,notes,469.15,DECREASED
VVX,2015-9-7,notes,39.77,DECREASED
IUQ,2015-7-15,notes,938.48,DECREASED
LLV,2015-11-11,notes,196.0,DECREASED
WGX,2015-9-6,notes,701.94,INCREASED
BWS,2015-8-10,notes,568.37,INCREASED
ZVQ,2015-7-13,notes,17.8,DECREASED
BWS,2015-11-13,notes,296.75,DECREASED
AJZ,2015-11-7,notes,858.36,INCREASED
FGF,2015-8-10,notes,236.86,DECREASED
OBR,2015-8-12,notes,379.8,INCREASED
KZW,2015-9-10,notes,563.13,INCREASED
RHS,2015-11-8,notes,737.51,DECREASED
FZN,2015-10-1,notes,972.29,INCREASED
WHL,2015-8-17,notes,472.61,INCREASED
XKF,2015-11-4,notes,309.96,DECREASED
FKS,2015-9-19,notes,946.68,INCREASED
ARA,2015-7-19,notes,157.1,DECREASED
AJZ,2015-10-1,notes,267.49,DECREASED
PFF,2015-10-16,notes,522.28,INCREASED
ABU,2015-8-9,notes,280.77,DECREASED
DKM,2015-9-5,notes,854.23,INCREASED
ZGV,2015-9-10,notes,210.96,INCREASED
XZZ,2015-8-20,notes,399.52,DECREASED
FFJ,2015-10-2,notes,457.53,DECREASED
FGF,2015-8-2,notes,141.31,DECREASED
ETP,2015-11-3,notes,966.53,INCREASED
OQB,2015-9-13,notes,691.11,INCREASED
SIF,2015-10-13,notes,104.88,DECREASED
DWM,2015-9-16,notes,848.21,DECREASED
ETP,2015-7-6,notes,877.39,DECREASED
OBR,2015-7-3,notes,952.16,NEW
ORX,2015-11-12,notes,52.19,DECREASED
XOT,2015-7-13,notes,598.70,DECREASED
QBU,2015-8-5,notes,467.29,DECREASED
KCT,2015-8-14,notes,518.13,DECREASED
JFG,2015-11-16,notes,UNKOWN,UNKNOWN
WYO,2015-11-3,notes,848.58,INCREASED
GUC,2015-10-15,notes,NA,UNKNOWN
RNP,2015-11-3,notes,879.71,DECREASED
PUA,2015-8-15,notes,298.1,DECREASED
NIS,2015-8-8,notes,650.97,DECREASED
KZW,2015-7-4,notes,979.62,INCREASED
ZGV,2015-9-19,notes,527.3,INCREASED
KJJ,2015-7-13,notes,917.99,INCREASED
MQZ,2015-11-6,notes,906.2,INCREASED
HSK,2015-10-14,notes,-----,UNKNOWN
WHJ,2015-8-13,notes,768.56,INCREASED
XQN,2015-9-13,notes,437.30,DECREASED
MDH,2015-11-10,notes,923.96,INCREASED
FFJ,2015-7-2,notes,Not present,UNKNOWN
QBU,2015-9-7,notes,156.92,INCREASED
KCT,2015-8-6,notes,130.40,DECREASED
UBH,2015-8-4,notes,--------,UNKNOWN
ABU,2015-8-6,notes,151.22,DECREASED
WGX,2015-7-12,notes,--,UNKNOWN
TIO,2015-9-15,notes,361.13,INCREASED
SIF,2015-7-17,notes,617.24,INCREASED
SIF,2015-9-16,notes,317.14,DECREASED
TFQ,2015-11-15,notes,197.5,DECREASED
DMD,2015-10-8,notes,261.33,DECREASED
INO,2015-10-15,notes,706.29,INCREASED
ZGV,2015-9-13,notes,58.74,DECREASED
IUQ,2015-9-20,notes,612.41,INCREASED
DNL,2015-11-13,notes,432.57,INCREASED
WYO,2015-9-13,notes,378.64,DECREASED
COF,2015-11-1,notes,789.88,INCREASED
XBO,2015-8-3,notes,662.46,INCREASED
FZN,2015-8-18,notes,95.76,DECREASED
TIO,2015-11-5,notes,859.23,INCREASED
PGC,2015-11-13,notes,770.30,DECREASED
WYO,2015-10-8,notes,504.87,INCREASED
TSM,2015-8-8,notes,178.89,DECREASED
VFK,2015-7-15,notes,523.10,DECREASED
QLS,2015-8-11,notes,Not present,UNKNOWN
XBO,2015-10-5,notes,862.95,INCREASED
JXG,2015-8-10,notes,175.83,DECREASED
BBL,2015-8-15,notes,715.71,INCREASED
UBH,2015-8-14,notes,152.46,INCREASED
QBU,2015-8-3,notes,978.68,INCREASED
FFJ,2015-9-17,notes,166.83,DECREASED
IMN,2015-10-4,notes,856.65,DECREASED
INO,2015-9-3,notes,821.51,DECREASED
HSK,2015-9-7,notes,164.72,DECREASED
OEI,2015-9-19,notes,694.43,INCREASED
KJJ,2015-9-3,notes,NA,UNKNOWN
FFJ,2015-7-16,notes,238.52,DECREASED
BWS,2015-7-20,notes,759.53,INCREASED
KXO,2015-7-4,notes,888.96,INCREASED
KXO,2015-10-11,notes,306.4,INCREASED
KXO,2015-11-9,notes,44.96,DECREASED
JXG,2015-8-1,notes,529.10,DECREASED
PUA,2015-10-14,notes,23.21,DECREASED
KJJ,2015-11-14,notes,--------,UNKNOWN
PFT,2015-8-19,notes,318.58,INCREASED
DLV,2015-7-7,notes,994.17,INCREASED
ISF,2015-11-10,notes,958.44,INCREASED
FFJ,2015-10-17,notes,51.42,DECREASED
OPZ,2015-7-16,notes,287.51,DECREASED
MQZ,2015-7-2,notes,876.44,INCREASED
OBR,2015-8-11,notes,134.18,DECREASED
GRH,2015-10-17,notes,854.18,DECREASED
WHL,2015-10-7,notes,657.6,DECREASED
PGC,2015-9-8,notes,727.90,INCREASED
DJY,2015-7-11,notes,987.84,INCREASED
WGX,2015-8-6,notes,486.20,INCREASED
DMD,2015-8-5,notes,256.96,DECREASED
OBR,2015-11-14,notes,--,UNKNOWN
LTH,2015-7-18,notes,295.73,INCREASED
DNL,2015-7-20,notes,702.91,INCREASED
PEX,2015-9-3,notes,Invalid,UNKNOWN
FZN,2015-11-10,notes,903.12,DECREASED
DEE,2015-7-17,notes,367.88,DECREASED
ZVQ,2015-8-11,notes,760.81,DECREASED
KCT,2015-9-2,notes,-----,UNKNOWN
EUS,2015-9-15,notes,214.1,INCREASED
ZGV,2015-7-14,notes,3.34,DECREASED
WGX,2015-7-6,notes,633.21,INCREASED
NSJ,2015-7-13,notes,75.87,DECREASED
WHJ,2015-9-8,notes,677.23,DECREASED
AJZ,2015-10-13,notes,869.22,INCREASED
WHJ,2015-7-3,notes,894.20,INCREASED
DJY,2015-7-16,notes,373.37,INCREASED
KZW,2015-10-16,notes,255.4,DECREASED
NSJ,2015-7-18,notes,536.71,DECREASED
ORX,2015-11-4,notes,796.20,DECREASED
DNX,2015-10-7,notes,283.31,INCREASED
DNX,2015-8-3,notes,990.0,INCREASED
QBU,2015-9-19,notes,354.32,DECREASED
GUC,2015-8-2,notes,507.54,DECREASED
UBH,2015-11-20,notes,750.28,DECREASED
MDH,2015-11-1,notes,735.86,DECREASED
TZA,2015-7-15,notes,224.73,DECREASED
VVX,2015-7-13,notes,192.93,DECREASED
SGT,2015-9-15,notes,477.84,INCREASED
YLB,2015-8-7,notes,912.95,INCREASED
OPZ,2015-8-12,notes,15.59,DECREASED
LII,2015-7-15,notes,888.84,INCREASED
ZVQ,2015-9-8,notes,292.4,INCREASED
YRW,2015-10-18,notes,unknown,UNKNOWN
WYO,2015-11-7,notes,169.26,DECREASED
PUA,2015-9-13,notes,281.48,INCREASED
FGF,2015-7-18,notes,948.1,INCREASED
ZVQ,2015-7-2,notes,53.48,DECREASED
JFG,2015-9-7,notes,564.43,INCREASED
IFM,2015-11-3,notes,684.92,INCREASED
OBR,2015-11-3,notes,201.29,INCREASED
INO,2015-11-19,notes,331.41,DECREASED
DLV,2015-7-2,notes,648.25,INCREASED
GRH,2015-9-16,notes,400.29,DECREASED
ABU,2015-11-4,notes,347.94,INCREASED
NSJ,2015-11-18,notes,294.42,INCREASED
KJJ,2015-11-8,notes,498.38,INCREASED
WGX,2015-10-8,notes,247.76,DECREASED
XBO,2015-9-15,notes,111.68,DECREASED
BBL,2015-8-17,notes,Not present,UNKNOWN
ARA,2015-10-10,notes,949.51,INCREASED
ZKG,2015-9-3,notes,323.51,DECREASED
WYO,2015-9-14,notes,480.22,INCREASED
GUC,2015-9-8,notes,583.56,INCREASED
ARA,2015-7-11,notes,455.56,INCREASED
TZA,2015-7-20,notes,518.61,DECREASED
QNH,2015-10-1,notes,956.89,INCREASED
SGT,2015-7-8,notes,Lost,UNKNOWN
PGC,2015-9-18,notes,--,UNKNOWN
INO,2015-11-13,notes,481.30,DECREASED
JXG,2015-9-4,notes,not there,UNKNOWN
DLV,2015-11-11,notes,511.1,INCREASED
LVR,2015-7-13,notes,830.85,INCREASED
YRW,2015-10-9,notes,404.90,DECREASED
DNL,2015-8-10,notes,433.54,INCREASED
QNH,2015-11-1,notes,385.79,INCREASED
IUQ,2015-8-12,notes,661.43,DECREASED
ZGV,2015-7-13,notes,Missing,UNKNOWN
MQZ,2015-11-10,notes,656.81,DECREASED
FGF,2015-11-10,notes,565.24,INCREASED
EUS,2015-8-18,notes,Not found,UNKNOWN
LDT,2015-7-15,notes,380.84,DECREASED
QLS,2015-11-18,notes,704.29,INCREASED
IUQ,2015-11-9,notes,642.6,INCREASED
GUC,2015-9-14,notes,736.30,INCREASED
OPZ,2015-10-18,notes,676.45,INCREASED
DNL,2015-8-5,notes,NA,UNKNOWN
LII,2015-7-16,notes,754.84,DECREASED
TFQ,2015-11-16,notes,96.81,DECREASED
ELM,2015-7-15,notes,554.71,INCREASED
WYO,2015-10-6,notes,723.5,INCREASED
OPZ,2015-10-17,notes,217.65,DECREASED
WYO,2015-10-15,notes,833.18,INCREASED
KJJ,2015-9-15,notes,454.17,INCREASED
IES,2015-9-7,notes,901.74,INCREASED
DWM,2015-11-5,notes,118.76,DECREASED
JFG,2015-8-18,notes,410.66,DECREASED
PEX,2015-9-12,notes,N/A,UNKNOWN
IMN,2015-7-15,notes,89.26,DECREASED
QFX,2015-10-9,notes,921.11,INCREASED
ISF,2015-9-3,notes,622.50,DECREASED
XOT,2015-10-12,notes,407.76,DECREASED
RNP,2015-10-2,notes,721.53,INCREASED
AJZ,2015-10-18,notes,705.76,INCREASED
MQZ,2015-10-6,notes,634.72,DECREASED
SIF,2015-7-15,notes,915.49,INCREASED
RCC,2015-8-8,notes,907.43,DECREASED
JDF,2015-10-8,notes,533.67,DECREASED
SGT,2015-9-11,notes,64.58,DECREASED
TFQ,2015-8-8,notes,330.68,INCREASED
JXG,2015-8-13,notes,533.59,DECREASED
RHS,2015-10-19,notes,535.3,INCREASED
NIS,2015-9-20,notes,913.55,INCREASED
KTX,2015-11-9,notes,Not present,UNKNOWN
IXX,2015-11-9,notes,95.46,DECREASED
QBU,2015-9-14,notes,265.73,DECREASED
XQN,2015-11-2,notes,420.40,DECREASED
DMD,2015-10-6,notes,68.59,DECREASED
ORX,2015-8-17,notes,334.43,DECREASED
INY,2015-7-6,notes,89.1,DECREASED
RHS,2015-7-3,notes,433.40,DECREASED
ZPZ,2015-11-19,notes,214.96,DECREASED
ZVQ,2015-7-10,notes,721.47,INCREASED
DMD,2015-9-13,notes,-----,UNKNOWN
FZN,2015-10-18,notes,702.0,INCREASED
IFM,2015-7-11,notes,348.24,DECREASED
KZW,2015-8-17,notes,222.49,DECREASED
QNH,2015-9-8,notes,897.75,INCREASED
NIS,2015-10-1,notes,728.17,DECREASED
PGC,2015-10-17,notes,750.45,DECREASED
LVR,2015-10-14,notes,279.50,DECREASED
ZPZ,2015-7-3,notes,816.1,INCREASED
GRH,2015-11-4,notes,684.21,DECREASED
VFK,2015-10-17,notes,28.7,DECREASED
DKM,2015-8-13,notes,829.34,INCREASED
DJY,2015-8-13,notes,-,UNKNOWN
JNL,2015-11-20,notes,158.17,DECREASED
DLV,2015-11-3,notes,501.16,DECREASED
IUQ,2015-9-12,notes,1.55,DECREASED
FGF,2015-11-6,notes,942.57,INCREASED
EUS,2015-8-15,notes,743.17,INCREASED
JNL,2015-8-16,notes,470.46,DECREASED
QNH,2015-10-14,notes,164.23,DECREASED
YPF,2015-7-6,notes,624.66,DECREASED
ULI,2015-7-20,notes,358.86,DECREASED
KZW,2015-9-18,notes,475.54,DECREASED
ULI,2015-11-14,notes,321.75,DECREASED
NSJ,2015-8-13,notes,470.90,DECREASED
IUQ,2015-8-4,notes,542.1,DECREASED
XZZ,2015-10-10,notes,258.3,DECREASED
WHJ,2015-10-14,notes,14.13,DECREASED
JXG,2015-8-2,notes,294.88,DECREASED
ABU,2015-8-14,notes,113.8,DECREASED
DEE,2015-7-18,notes,891.88,INCREASED
BBL,2015-7-16,notes,671.97,DECREASED
MQZ,2015-11-8,notes,637.30,INCREASED
VFK,2015-8-8,notes,288.61,INCREASED
OQB,2015-11-20,notes,894.48,INCREASED
RCC,2015-10-1,notes,327.60,INCREASED
ISF,2015-8-5,notes,680.58,DECREASED
IES,2015-10-20,notes,383.59,DECREASED
PEX,2015-11-5,notes,721.81,INCREASED
ZGV,2015-7-12,notes,722.35,INCREASED
ARA,2015-7-9,notes,-,UNKNOWN
YPF,2015-7-16,notes,799.30,INCREASED
QLS,2015-8-2,notes,982.19,INCREASED
FFJ,2015-11-3,notes,501.13,DECREASED
XKF,2015-7-18,notes,844.87,INCREASED
FFJ,2015-11-20,notes,870.14,INCREASED
TZA,2015-7-13,notes,781.16,INCREASED
XKF,2015-8-18,notes,565.79,INCREASED
BBL,2015-7-1,notes,945.0,NEW
QLS,2015-7-13,notes,292.0,DECREASED
XQN,2015-11-12,notes,12.80,DECREASED
YLB,2015-7-19,notes,593.79,INCREASED
ETP,2015-8-1,notes,157.63,INCREASED
KZW,2015-7-8,notes,927.61,INCREASED
IMN,2015-7-18,notes,813.12,DECREASED
ISF,2015-8-13,notes,814.59,INCREASED
FFJ,2015-10-13,notes,NA,UNKNOWN
YRW,2015-10-16,notes,33.90,DECREASED
PGC,2015-11-19,notes,447.23,INCREASED
INY,2015-9-2,notes,459.95,DECREASED
TIO,2015-10-1,notes,411.55,DECREASED
PFT,2015-11-15,notes,499.47,INCREASED
FFJ,2015-11-15,notes,...,UNKNOWN
YPF,2015-11-6,notes,unknown,UNKNOWN
ELM,2015-10-9,notes,14.96,DECREASED
MQZ,2015-7-15,notes,511.89,INCREASED
KJJ,2015-10-7,notes,976.61,DECREASED
OPZ,2015-7-5,notes,582.87,DECREASED
EUS,2015-7-11,notes,524.69,DECREASED
FKS,2015-10-4,notes,742.51,INCREASED
TFQ,2015-7-10,notes,Not present,UNKNOWN
ULI,2015-7-6,notes,716.84,DECREASED
JXG,2015-10-19,notes,596.53,DECREASED
COF,2015-10-13,notes,329.77,DECREASED
LVR,2015-9-15,notes,249.47,INCREASED
JFG,2015-7-15,notes,...,UNKNOWN
XOT,2015-7-18,notes,197.79,INCREASED
TSM,2015-9-7,notes,163.4,DECREASED
FZN,2015-7-14,notes,145.15,DECREASED
MQZ,2015-11-15,notes,577.0,INCREASED
DJY,2015-7-18,notes,703.67,INCREASED
ARA,2015-8-20,notes,774.83,INCREASED
XOT,2015-11-14,notes,480.19,DECREASED
WHJ,2015-7-11,notes,379.64,INCREASED
JFG,2015-7-12,notes,761.56,INCREASED
RCC,2015-11-8,notes,Not present,UNKNOWN
KCT,2015-9-6,notes,937.43,INCREASED
YLB,2015-10-9,notes,118.60,DECREASED
LTH,2015-11-11,notes,813.30,INCREASED
TFQ,2015-11-1,notes,...,UNKNOWN
JDF,2015-11-8,notes,-,UNKNOWN
FZV,2015-8-4,notes,400.80,INCREASED
LVR,2015-8-4,notes,7.22,DECREASED
OBR,2015-8-14,notes,235.85,DECREASED
XOT,2015-11-10,notes,502.20,INCREASED
SBH,2015-7-9,notes,881.37,INCREASED
DMD,2015-8-9,notes,126.75,DECREASED
SIF,2015-8-20,notes,378.19,INCREASED
FGF,2015-8-9,notes,885.13,INCREASED
VFK,2015-8-13,notes,948.92,INCREASED
LLV,2015-10-13,notes,512.80,DECREASED
XOT,2015-11-5,notes,Not found,UNKNOWN
DKM,2015-9-6,notes,385.13,DECREASED
ZPZ,2015-11-9,notes,792.90,INCREASED
XKF,2015-10-15,notes,336.20,DECREASED
QFX,2015-7-1,notes,501.51,NEW
JNL,2015-10-3,notes,844.82,INCREASED
MDH,2015-10-11,notes,120.84,DECREASED
LVR,2015-10-10,notes,823.51,INCREASED
DJY,2015-9-11,notes,45.53,DECREASED
OPZ,2015-7-9,notes,972.95,INCREASED
DLV,2015-11-13,notes,538.81,DECREASED
